ORF ID,Name,Description,Number of TA Sites,Number of Permissive (P) Sites,Number of Non-Permissive (NP) Sites,Number of Sites Belonging to Essential State,Number of Sites Belonging to Growth-Defect State,Number of Sites Belonging to Non-Essential State,Number of Sites Belonging to Growth-Advantage State,Fraction of Sites with Insertions,Mean Normalized Read-Count At Non-Zero Sites,Final Call
Rv2427c,proA,Probable gamma-glutamyl phosphate reductase protein ProA (GPR) (glutamate-5-semialdehyde dehydrogenase) (glutamyl-gamma-semialdehyde dehydrogenase),16,14,2,0,0,16,0,0.75,43.83333333,NE
Rv2428,ahpC,Alkyl hydroperoxide reductase C protein AhpC (alkyl hydroperoxidase C),10,9,1,0,0,10,0,1,40.2,NE
Rv2429,ahpD,Alkyl hydroperoxide reductase D protein AhpD (alkyl hydroperoxidase D),14,14,0,0,0,14,0,1,82.42857143,NE
Rv2430c,PPE41,PPE family protein PPE41,11,11,0,0,0,11,0,1,174.5454545,NE
Rv2431c,PE25,PE family protein PE25,7,7,0,0,0,7,0,1,200.5714286,NE
Rv2432c,-,Hypothetical protein,7,6,1,0,0,7,0,1,54.85714286,NE
Rv2433c,-,Hypothetical protein,6,4,2,0,0,6,0,1,55.33333333,NE
Rv2434c,-,Probable conserved transmembrane protein,25,21,4,0,0,25,0,0.76,48.89473684,NE
Rv2435c,-,Probable cyclase (adenylyl-or guanylyl-)(adenylate-or guanylate-),56,51,5,0,0,56,0,0.910714286,46.35294118,NE
Rv2436,rbsK,Ribokinase RbsK,12,8,4,0,0,12,0,0.833333333,49.5,NE
Rv2437,-,Conserved transmembrane protein,10,9,1,0,0,10,0,1,32.8,NE
Rv2438c,nadE,Glutamine-dependent NAD(+) synthetase NadE (NAD(+) synthase [glutamine-hydrolysing]),40,37,3,39,0,1,0,0.175,1,ES
Rv2438A,-,hypothetical protein,5,5,0,3,0,2,0,0.4,33.5,ES
Rv2439c,proB,Probable glutamate 5-kinase protein ProB (gamma-glutamyl kinase) (GK),13,13,0,11,0,2,0,0.153846154,17,ES
Rv2440c,obg,Probable GTP1/Obg-family GTP-binding protein Obg,12,10,2,12,0,0,0,0,0,ES
Rv2441c,rpmA,50S ribosomal protein L27 RpmA,4,4,0,0,4,0,0,0,0,GD
Rv2442c,rplU,50S ribosomal protein L21 RplU,5,5,0,0,5,0,0,0.2,4,GD
Rv2443,dctA,Probable C4-dicarboxylate-transport transmembrane protein DctA,22,22,0,0,0,22,0,1,210.2272727,NE
Rv2444c,rne,Possible ribonuclease E Rne,32,28,4,17,12,3,0,0.1875,35.66666667,ESD
Rv2445c,ndkA,Probable nucleoside diphosphate kinase NdkA (NDK) (NDP kinase) (nucleoside-2-P kinase),5,5,0,0,0,5,0,1,25.6,NE
Rv2446c,-,Probable conserved integral membrane protein,7,7,0,0,0,7,0,1,81.57142857,NE
Rv2447c,folC,Probable folylpolyglutamate synthase protein FolC (folylpoly-gamma-glutamate synthetase) (FPGS),13,12,1,13,0,0,0,0.076923077,1,ES
Rv2448c,valS,Probable valyl-tRNA synthase protein ValS (valyl-tRNA synthetase) (valine--tRNA ligase) (valine translase),28,24,4,28,0,0,0,0,0,ES
Rv2449c,-,hypothetical protein,26,26,0,0,0,26,0,1,101.3461538,NE
Rv2450c,rpfE,Probable resuscitation-promoting factor RpfE,8,5,3,0,0,8,0,0.875,74.28571429,NE
Rv2451,-,Hypothetical proline and serine rich protein,8,6,2,0,0,8,0,1,105.75,NE
Rv2452c,-,Hypothetical protein,7,7,0,0,0,7,0,1,117.2857143,NE
Rv2453c,mobA,Probable molybdopterin-guanine dinucleotide biosynthesis protein A MobA,6,6,0,0,0,6,0,1,132.5,NE
Rv2454c,-,Probable oxidoreductase (beta subunit),15,12,3,0,15,0,0,0.6,2,GD
Rv2455c,-,Probable oxidoreductase (alpha subunit),37,34,3,0,37,0,0,0.72972973,2.148148148,GD
Rv2456c,-,Probable conserved integral membrane transport protein,20,17,3,0,0,9,11,1,318.25,GA
Rv2457c,clpX,Probable ATP-dependent CLP protease ATP-binding subunit ClpX,20,20,0,19,0,0,1,0.05,118,ES
Rv2458,mmuM,Probable homocysteine S-methyltransferase MmuM (S-methylmethionine:homocysteine methyltransferase) (cysteine methyltransferase),17,16,1,0,0,0,17,0.941176471,184.9375,GA
Rv2459,-,Probable conserved integral membrane transport protein,22,21,1,0,0,0,22,1,216.4545455,GA
Rv2460c,clpP2,Probable ATP-dependent CLP protease proteolytic subunit 2 ClpP2 (endopeptidase CLP 2),10,9,1,10,0,0,0,0,0,ES
Rv2461c,clpP1,Probable ATP-dependent CLP protease proteolytic subunit 1 ClpP1 (endopeptidase CLP),10,9,1,10,0,0,0,0.1,2,ES
Rv2462c,tig,Probable trigger factor (TF) protein Tig,19,18,1,0,0,19,0,1,111.4210526,NE
Rv2463,lipP,Probable esterase/lipase LipP,21,19,2,0,0,21,0,1,177.8571429,NE
Rv2464c,-,Possible DNA glycosylase,11,10,1,0,0,11,0,1,229.7272727,NE
Rv2465c,rpiB,Ribose-5-phosphate isomerase,7,7,0,7,0,0,0,0,0,ES
Rv2466c,-,hypothetical protein,10,10,0,0,0,10,0,1,63,NE
Rv2467,pepN,Probable aminopeptidase N PepN (Lysyl aminopeptidase) (LYS-AP) (alanine aminopeptidase),39,37,2,0,0,39,0,1,93.74358974,NE
Rv2468c,-,hypothetical protein,5,5,0,0,0,5,0,1,130.6,NE
Rv2468A,-,hypothetical protein,3,2,1,0,0,3,0,1,244,NE
Rv2469c,-,hypothetical protein,10,10,0,0,0,10,0,1,204.5,NE
Rv2470,glbO,Globin (oxygen-binding protein) GlbO,9,9,0,0,0,9,0,1,13.33333333,NE
Rv2471,aglA,Probable alpha-glucosidase AglA (maltase) (glucoinvertase) (glucosidosucrase) (maltase-glucoamylase) (lysosomal alpha-glucosidase) (acid maltase),17,14,3,0,0,17,0,1,110.5882353,NE
Rv2472,-,hypothetical protein,9,6,3,0,0,9,0,1,49.55555556,NE
Rv2473,-,Possible alanine and proline rich membrane protein,17,15,2,0,0,17,0,0.941176471,84.1875,NE
Rv2474c,-,hypothetical protein,13,9,4,0,0,13,0,0.769230769,26.4,NE
Rv2475c,-,hypothetical protein,9,9,0,0,0,9,0,1,107.5555556,NE
Rv2476c,gdh,Probable NAD-dependent glutamate dehydrogenase Gdh (NAD-Gdh) (NAD-dependent glutamic dehydrogenase),64,60,4,0,0,64,0,0.953125,55.78688525,NE
Rv2477c,-,Probable macrolide-transport ATP-binding protein ABC transporter,28,27,1,26,0,2,0,0.107142857,29.33333333,ES
Rv2478c,-,hypothetical protein,7,7,0,0,0,7,0,1,187.8571429,NE
Rv2479c,-,Probable transposase,26,24,2,0,0,26,0,1,172.3076923,NE
Rv2480c,-,Possible transposase for insertion sequence element IS6110 (fragment),5,5,0,0,0,5,0,1,187.8,NE
Rv2481c,-,Hypothetical protein,6,6,0,0,0,6,0,1,234,NE
Rv2482c,plsB2,Probable glycerol-3-phosphate acyltransferase PlsB2 (GPAT),42,39,3,0,0,42,0,0.928571429,78.87179487,NE
Rv2483c,plsC,Possible transmembrane phospholipid biosynthesis bifunctional enzyme PlsC: putative L-3-phosphoserine phosphatase (O-phosphoserine phosphohydrolase) (PSP) (pspase) + 1-acyl-SN-glycerol-3-phosphate acyltransferase (1-AGP acyltransferase) (1-AGPAT) (lysophosphatidic acid acyltransferase) (LPAAT),27,25,2,0,0,27,0,0.888888889,51,NE
Rv2484c,-,Possible triacylglycerol synthase (diacylglycerol acyltransferase),22,21,1,0,0,22,0,1,50.04545455,NE
Rv2485c,lipQ,Probable carboxylesterase LipQ,21,21,0,0,0,21,0,1,150.1428571,NE
Rv2486,echA14,Probable enoyl-CoA hydratase EchA14 (enoyl hydrase) (unsaturated acyl-CoA hydratase) (crotonase),11,11,0,0,0,11,0,1,158.5454545,NE
Rv2487c,PE_PGRS42,PE-PGRS family protein PE_PGRS42,26,19,7,0,0,26,0,0.923076923,50.625,NE
Rv2488c,-,Probable transcriptional regulatory protein (LuxR-family),47,40,7,0,0,47,0,0.957446809,128.0444444,NE
Rv2489c,-,Hypothetical alanine rich protein,6,6,0,0,0,6,0,1,128.6666667,NE
Rv2490c,PE_PGRS43,PE-PGRS family protein PE_PGRS43,52,39,13,0,0,52,0,0.903846154,75.65957447,NE
Rv2491,-,hypothetical protein,16,16,0,0,11,5,0,0.6875,42.45454545,GD
Rv2492,-,Hypothetical protein,32,31,1,0,15,17,0,0.6875,37.86363636,NE
Rv2493,vapB38,Possible antitoxin VapB38,0,0,0,0,0,0,0,0,0,Uncertain
Rv2494,vapC38,Possible toxin VapC38 Contains PIN domain,6,5,1,0,0,6,0,0.833333333,65.8,NE
Rv2495c,bkdC,Probable branched-chain keto acid dehydrogenase E2 component BkdC,15,15,0,0,0,15,0,0.866666667,33.92307692,NE
Rv2496c,bkdB,"Probable branched-chain keto acid dehydrogenase E1 component, beta subunit BkdB",24,19,5,0,0,24,0,0.791666667,46.15789474,NE
Rv2497c,bkdA,"Probable branched-chain keto acid dehydrogenase E1 component, alpha subunit BkdA",23,19,4,0,0,23,0,0.782608696,116.5,NE
Rv2498c,citE,Probable citrate (pro-3S)-lyase (beta subunit) CitE (citrase) (citratase) (citritase) (citridesmolase) (citrase aldolase),9,8,1,0,0,9,0,1,60.66666667,NE
Rv2499c,-,Possible oxidase regulatory-related protein,6,6,0,0,0,6,0,1,51.16666667,NE
Rv2500c,fadE19,Possible acyl-CoA dehydrogenase FadE19 (MMGC),28,24,4,0,0,28,0,0.785714286,40.04545455,NE
Rv2501c,accA1,Probable acetyl-/propionyl-coenzyme A carboxylase alpha chain (alpha subunit) AccA1: biotin carboxylase + biotin carboxyl carrier protein (BCCP),28,25,3,0,0,28,0,0.785714286,41.63636364,NE
Rv2502c,accD1,Probable acetyl-/propionyl-CoA carboxylase (beta subunit) AccD1,29,27,2,0,0,29,0,0.931034483,64.59259259,NE
Rv2503c,scoB,Probable succinyl-CoA:3-ketoacid-coenzyme A transferase (beta subunit) ScoB (3-oxo-acid:CoA transferase) (OXCT B) (succinyl CoA:3-oxoacid CoA-transferase),7,6,1,0,0,7,0,1,80.28571429,NE
Rv2504c,scoA,Probable succinyl-CoA:3-ketoacid-coenzyme A transferase (alpha subunit) ScoA (3-oxo acid:CoA transferase) (OXCT A) (succinyl-CoA:3-oxoacid-coenzyme A transferase),13,11,2,0,0,13,0,0.923076923,119.5,NE
Rv2505c,fadD35,Probable fatty-acid-CoA ligase FadD35 (fatty-acid-CoA synthetase) (fatty-acid-CoA synthase),36,36,0,0,0,36,0,0.944444444,95.91176471,NE
Rv2506,-,Probable transcriptional regulatory protein (probably TetR-family),10,9,1,0,0,10,0,1,145.6,NE
Rv2507,-,Possible conserved proline rich membrane protein,20,16,4,0,0,20,0,0.8,12.5625,NE
Rv2508c,-,Probable conserved integral membrane leucine and alanine rich protein,18,17,1,0,0,18,0,1,87.61111111,NE
Rv2509,-,Probable short-chain type dehydrogenase/reductase,12,9,3,11,0,1,0,0.083333333,123,ES
Rv2510c,-,hypothetical protein,17,16,1,0,0,17,0,0.941176471,71.5,NE
Rv2511,orn,Oligoribonuclease Orn,9,9,0,7,0,2,0,0.333333333,22,ES
Rv2512c,-,Transposase for insertion sequence element IS1081,17,14,3,0,0,17,0,1,102.7058824,NE
Rv2513,-,Hypothetical protein,9,8,1,0,0,9,0,1,134.3333333,NE
Rv2514c,-,hypothetical protein,7,6,1,0,0,7,0,1,47.57142857,NE
Rv2515c,-,hypothetical protein,22,19,3,0,0,22,0,0.954545455,35.28571429,NE
Rv2516c,-,Hypothetical protein,14,13,1,5,0,9,0,0.357142857,51.6,ESD
Rv2517c,-,hypothetical protein,7,7,0,0,0,7,0,0.857142857,201.5,NE
Rv2518c,ldtB,"Probable L,D-transpeptidase LdtB",22,19,3,0,0,22,0,0.863636364,17,NE
Rv2519,PE26,PE family protein PE26,36,34,2,0,0,36,0,1,107.25,NE
Rv2520c,-,Possible conserved membrane protein,1,1,0,0,0,1,0,0,0,Uncertain
Rv2521,bcp,Probable bacterioferritin comigratory protein Bcp,11,11,0,0,0,11,0,1,101.1818182,NE
Rv2522c,-,hypothetical protein,20,19,1,0,0,20,0,0.85,48.29411765,NE
Rv2523c,acpS,holo-[acyl-carrier protein] synthase AcpS (holo-ACP synthase) (CoA:APO-[ACP]pantetheinephosphotransferase) (CoA:APO-[acyl-carrier protein]pantetheinephosphotransferase),4,2,2,0,0,4,0,0,0,NE
Rv2524c,fas,Probable fatty acid synthase Fas (fatty acid synthetase),71,62,9,69,0,2,0,0.042253521,96.66666667,ES
Rv2525c,-,Conserved hypothetical protein Secreted; predicted to be a substrate of the twin arginine translocation (tat) export system,14,14,0,0,0,14,0,1,239.7857143,NE
Rv2526,vapB17,Possible antitoxin VapB17,1,1,0,0,0,1,0,1,12,Uncertain
Rv2527,vapC17,Possible toxin VapC17,10,9,1,0,0,10,0,1,98.8,NE
Rv2528c,mrr,Probable restriction system protein Mrr,11,10,1,0,0,11,0,0.909090909,105.3,NE
Rv2529,-,Hypothetical protein,16,15,1,0,0,16,0,0.875,50.07142857,NE
Rv2530c,vapC39,Possible toxin VapC39 Contains PIN domain,4,3,1,0,0,4,0,0.75,73.66666667,NE
Rv2530A,vapB39,Possible antitoxin VapB39,5,5,0,0,0,5,0,1,26.2,NE
Rv2531c,-,Probable amino acid decarboxylase,50,50,0,0,0,50,0,0.96,108.5416667,NE
Rv2532c,-,Hypothetical protein,6,6,0,0,0,6,0,1,100.3333333,NE
Rv2533c,nusB,N utilization substance protein NusB (NusB protein),4,4,0,4,0,0,0,0,0,ES
Rv2534c,efp,Probable elongation factor P Efp,11,11,0,11,0,0,0,0.090909091,1,ES
Rv2535c,pepQ,Probable cytoplasmic peptidase PepQ,20,18,2,0,0,20,0,0.95,51.68421053,NE
Rv2536,-,Probable conserved transmembrane protein,10,8,2,0,0,0,10,1,186.7,GA
Rv2537c,aroD,3-dehydroquinate dehydratase AroD (AROQ) (3-dehydroquinase) (type II dhqase),7,7,0,6,0,0,1,0.142857143,70,ES
Rv2538c,aroB,3-dehydroquinate synthase AroB,10,7,3,10,0,0,0,0,0,ES
Rv2539c,aroK,Shikimate kinase AroK (SK),5,5,0,5,0,0,0,0,0,ES
Rv2540c,aroF,Probable chorismate synthase AroF (5-enolpyruvylshikimate-3-phosphate phospholyase),11,11,0,11,0,0,0,0.090909091,1,ES
Rv2541,-,Hypothetical alanine rich protein,3,3,0,0,0,3,0,0.666666667,37,Uncertain
Rv2542,-,hypothetical protein,13,10,3,0,0,13,0,0.846153846,190,NE
Rv2543,lppA,Probable conserved lipoprotein LppA,14,13,1,0,0,14,0,0.928571429,117.6153846,NE
Rv2544,lppB,Probable conserved lipoprotein LppB,15,14,1,0,0,15,0,0.8,99.41666667,NE
Rv2545,vapB18,Possible antitoxin VapB18,11,11,0,0,0,11,0,1,203.8181818,NE
Rv2546,vapC18,Possible toxin VapC18,10,9,1,0,0,10,0,1,162.2,NE
Rv2547,vapB19,Possible antitoxin VapB19,2,2,0,0,0,2,0,1,251.5,NE
Rv2548,vapC19,Possible toxin VapC19,5,3,2,0,0,5,0,1,99.4,NE
Rv2548A,-,hypothetical protein,5,5,0,0,0,5,0,0.4,19,NE
Rv2549c,vapC20,Possible toxin VapC20,6,6,0,0,0,6,0,1,260.8333333,NE
Rv2550c,vapB20,Possible antitoxin VapB20,7,7,0,0,0,7,0,0.714285714,112,NE
Rv2551c,-,hypothetical protein,2,1,1,0,0,2,0,1,103.5,NE
Rv2552c,aroE,Probable shikimate 5-dehydrogenase AroE (5-dehydroshikimate reductase),6,5,1,0,0,6,0,0.166666667,99,NE
Rv2553c,-,Probable conserved membrane protein,18,16,2,0,0,18,0,0.944444444,84.35294118,NE
Rv2554c,-,hypothetical protein,4,3,1,4,0,0,0,0,0,ES
Rv2555c,alaS,Probable alanyl-tRNA synthetase AlaS (alanine--tRNA ligase) (alanine translase) (ALARS),42,35,7,42,0,0,0,0.047619048,1,ES
Rv2556c,-,hypothetical protein,5,4,1,0,0,5,0,0.8,34.5,NE
Rv2557,-,hypothetical protein,12,10,2,0,0,12,0,1,253.8333333,NE
Rv2558,-,hypothetical protein,7,6,1,0,0,7,0,0.857142857,248.6666667,NE
Rv2559c,-,Conserved hypothetical alanine leucine valine rich protein,16,15,1,0,0,16,0,0.9375,107.2,NE
Rv2560,-,Probable proline and glycine rich transmembrane protein,25,24,1,0,0,25,0,0.96,117.125,NE
Rv2561,-,hypothetical protein,4,4,0,0,0,4,0,1,278.25,NE
Rv2562,-,hypothetical protein,9,8,1,0,0,9,0,1,238,NE
Rv2563,-,Probable glutamine-transport transmembrane protein ABC transporter,10,9,1,0,0,10,0,1,46.8,NE
Rv2564,glnQ,Probable glutamine-transport ATP-binding protein ABC transporter GlnQ,15,14,1,0,0,15,0,0.933333333,62.78571429,NE
Rv2565,-,hypothetical protein,26,20,6,0,0,26,0,0.923076923,134.375,NE
Rv2566,-,Long conserved protein,53,48,5,0,0,53,0,0.962264151,94.70588235,NE
Rv2567,-,Conserved hypothetical alanine and leucine rich protein,40,37,3,0,0,40,0,0.8,57.3125,NE
Rv2568c,-,hypothetical protein,18,18,0,0,0,18,0,1,74.38888889,NE
Rv2569c,-,hypothetical protein,23,21,2,0,0,23,0,0.956521739,69.77272727,NE
Rv2570,-,hypothetical protein,4,3,1,0,0,4,0,1,86.75,NE
Rv2571c,-,Probable transmembrane alanine and valine and leucine rich protein,9,7,2,0,0,9,0,1,106,NE
Rv2572c,aspS,Probable aspartyl-tRNA synthetase AspS (aspartate--tRNA ligase) (ASPRS) (aspartic acid translase),23,21,2,23,0,0,0,0.043478261,1,ES
Rv2573,-,hypothetical protein,4,4,0,0,0,4,0,1,153.5,NE
Rv2574,-,hypothetical protein,9,8,1,0,0,9,0,1,93.66666667,NE
Rv2575,-,Possible conserved membrane glycine rich protein,19,18,1,0,0,19,0,0.947368421,114.8333333,NE
Rv2576c,-,Possible conserved membrane protein,12,10,2,0,0,12,0,0.916666667,183.5454545,NE
Rv2577,-,hypothetical protein,41,33,8,0,0,41,0,0.853658537,116.4285714,NE
Rv2578c,-,hypothetical protein,18,16,2,0,0,18,0,1,73.05555556,NE
Rv2579,dhaA,Possible haloalkane dehalogenase DhaA (1-chlorohexane halidohydrolase),15,14,1,0,0,15,0,0.933333333,180.5,NE
Rv2580c,hisS,Probable histidyl-tRNA synthetase HisS (histidine--tRNA ligase) (HISRS) (histidine--translase),19,17,2,19,0,0,0,0,0,ES
Rv2581c,-,Possible glyoxalase II (hydroxyacylglutathione hydrolase) (GLX II),7,6,1,3,4,0,0,0.571428571,7,ESD
Rv2582,ppiB,Probable peptidyl-prolyl cis-trans isomerase B PpiB (cyclophilin) (PPIase) (rotamase) (peptidylprolyl isomerase),19,19,0,0,19,0,0,0.947368421,10.61111111,GD
Rv2583c,relA,Probable GTP pyrophosphokinase RelA (ATP:GTP 3'-pyrophosphotransferase) (PPGPP synthetase I) ((P)PPGPP synthetase) (GTP diphosphokinase),37,36,1,0,15,22,0,0.702702703,87.53846154,NE
Rv2584c,apt,Adenine phosphoribosyltransferase Apt (APRT) (AMP diphosphorylase) (AMP pyrophosphorylase) (transphosphoribosidase),12,11,1,0,0,12,0,1,188.1666667,NE
Rv2585c,-,Possible conserved lipoprotein,27,26,1,0,0,27,0,0.962962963,112.3461538,NE
Rv2586c,secF,Probable protein-export membrane protein SecF,19,17,2,13,0,5,1,0.421052632,62.125,ESD
Rv2587c,secD,Probable protein-export membrane protein SecD,25,23,2,23,0,0,2,0.16,80.25,ES
Rv2588c,yajC,Probable conserved membrane protein secretion factor YajC,2,2,0,0,0,2,0,1,334.5,NE
Rv2589,gabT,4-aminobutyrate aminotransferase GabT (gamma-amino-N-butyrate transaminase) (GABA transaminase) (glutamate:succinic semialdehyde transaminase) (GABA aminotransferase) (GABA-at),22,21,1,0,0,22,0,0.954545455,178.4285714,NE
Rv2590,fadD9,Probable fatty-acid-CoA ligase FadD9 (fatty-acid-CoA synthetase) (fatty-acid-CoA synthase),62,56,6,0,0,45,17,0.967741935,234.1333333,NE
Rv2591,PE_PGRS44,PE-PGRS family protein PE_PGRS44,14,12,2,0,0,10,4,0.928571429,122.6923077,NE
Rv2592c,ruvB,Probable holliday junction DNA helicase RuvB,9,8,1,0,6,3,0,0.666666667,40.5,GD
Rv2593c,ruvA,Probable holliday junction DNA helicase RuvA,6,5,1,0,6,0,0,0.833333333,3.8,GD
Rv2594c,ruvC,Probable crossover junction endodeoxyribonuclease RuvC (holliday junction nuclease) (holliday junction resolvase),6,5,1,0,6,0,0,0.666666667,5.75,GD
Rv2595,vapB40,Possible antitoxin VapB40,0,0,0,0,0,0,0,0,0,Uncertain
Rv2596,vapC40,Possible toxin VapC40 Contains PIN domain,8,8,0,0,0,0,8,1,241,GA
Rv2597,-,Probable membrane protein,8,8,0,0,0,0,8,1,194.25,GA
Rv2598,-,hypothetical protein,5,5,0,0,0,0,5,1,89.8,GA
Rv2599,-,Probable conserved membrane protein,13,12,1,0,0,0,13,1,263.1538462,GA
Rv2600,-,Probable conserved integral membrane protein,10,8,2,0,0,4,6,1,212.5,GA
Rv2601,speE,Probable spermidine synthase SpeE (putrescine aminopropyltransferase) (aminopropyltransferase) (SPDSY),26,26,0,0,0,26,0,1,123.0769231,NE
Rv2601A,vapB41,Possible antitoxin VapB41,2,1,1,0,0,2,0,0.5,38,Uncertain
Rv2602,vapC41,Possible toxin VapC41 Contains PIN domain,7,7,0,0,0,7,0,1,308.2857143,NE
Rv2603c,-,Highly conserved protein,7,7,0,0,0,7,0,0.857142857,2,NE
Rv2604c,snoP,Probable glutamine amidotransferase SnoP,4,3,1,0,0,4,0,0.75,57.66666667,NE
Rv2605c,tesB2,Probable acyl-CoA thioesterase II TesB2 (TEII),9,9,0,0,0,9,0,1,71.55555556,NE
Rv2606c,snzP,Possible pyridoxine biosynthesis protein SnzP,12,10,2,0,0,12,0,0.916666667,35.45454545,NE
Rv2607,pdxH,Probable pyridoxamine 5'-phosphate oxidase PdxH (PNP/PMP oxidase) (pyridoxinephosphate oxidase) (PNPOX) (pyridoxine 5'-phosphate oxidase),13,11,2,0,0,13,0,0.923076923,189.1666667,NE
Rv2608,PPE42,PPE family protein PPE42,33,29,4,0,0,33,0,0.939393939,164.2258065,NE
Rv2609c,-,Probable conserved membrane protein,13,13,0,6,0,7,0,0.538461538,126.2857143,ESD
Rv2610c,pimA,Alpha-mannosyltransferase PimA,16,15,1,16,0,0,0,0.0625,1,ES
Rv2611c,-,Probable acyltransferase,15,15,0,14,0,1,0,0.066666667,48,ES
Rv2612c,pgsA1,PI synthase PgsA1 (phosphatidylinositol synthase) (CDP-diacylglycerol--inositol-3-phosphatidyltransferase),3,2,1,0,0,3,0,0,0,ES
Rv2613c,-,hypothetical protein,9,8,1,0,0,9,0,0.666666667,45,NE
Rv2614c,thrS,Probable threonyl-tRNA synthetase ThrS (threonine-tRNA synthetase)(ThrRS) (threonine-tRNA ligase),28,28,0,27,0,1,0,0.107142857,15.33333333,ES
Rv2614A,-,hypothetical protein,7,3,4,0,0,7,0,0.857142857,36.33333333,NE
Rv2615c,PE_PGRS45,PE-PGRS family protein PE_PGRS45,18,10,8,0,0,18,0,0.833333333,97.8,NE
Rv2616,-,hypothetical protein,5,5,0,0,0,5,0,0.8,203.75,NE
Rv2617c,-,Probable transmembrane protein,10,10,0,0,0,4,6,1,497.1,GA
Rv2618,-,hypothetical protein,11,10,1,0,0,11,0,1,200.8181818,NE
Rv2619c,-,hypothetical protein,2,2,0,0,0,2,0,1,55.5,NE
Rv2620c,-,Probable conserved transmembrane protein,6,6,0,0,0,6,0,1,320.3333333,NE
Rv2621c,-,Possible transcriptional regulatory protein,5,3,2,0,0,5,0,0.8,82,NE
Rv2622,-,Possible methyltransferase (methylase),8,7,1,0,0,8,0,0.875,68.71428571,NE
Rv2623,TB31.7,Universal stress protein family protein TB31.7,9,8,1,0,0,9,0,0.888888889,60.375,NE
Rv2624c,-,Universal stress protein family protein,11,10,1,0,0,11,0,0.909090909,25.2,NE
Rv2625c,-,Probable conserved transmembrane alanine and leucine rich protein,19,15,4,0,0,19,0,1,61.63157895,NE
Rv2626c,hrp1,Hypoxic response protein 1 Hrp1,7,6,1,0,0,7,0,1,61,NE
Rv2627c,-,hypothetical protein,22,21,1,0,0,22,0,0.954545455,46.52380952,NE
Rv2628,-,Hypothetical protein,9,9,0,0,0,9,0,1,49.55555556,NE
Rv2629,-,hypothetical protein,25,24,1,0,0,25,0,0.88,109.3181818,NE
Rv2630,-,Hypothetical protein,10,8,2,0,0,10,0,0.9,67.33333333,NE
Rv2631,-,hypothetical protein,22,20,2,0,0,22,0,1,125.4545455,NE
Rv2632c,-,hypothetical protein,3,2,1,0,0,3,0,0.666666667,104.5,Uncertain
Rv2633c,-,Hypothetical protein,14,13,1,0,0,14,0,1,141.3571429,NE
Rv2634c,PE_PGRS46,PE-PGRS family protein PE_PGRS46,34,24,10,0,0,34,0,0.911764706,101.6774194,NE
Rv2635,-,Hypothetical protein,7,6,1,0,0,7,0,1,41.57142857,NE
Rv2636,-,hypothetical protein,18,16,2,0,0,18,0,0.944444444,127.2352941,NE
Rv2637,dedA,Possible transmembrane protein DedA,10,10,0,0,0,10,0,1,48.9,NE
Rv2638,-,hypothetical protein,5,5,0,0,0,5,0,1,117.8,NE
Rv2639c,-,Probable conserved integral membrane protein,7,6,1,0,0,7,0,1,205,NE
Rv2640c,-,Possible transcriptional regulatory protein (probably ArsR-family),5,5,0,0,0,5,0,1,57.8,NE
Rv2641,cadI,Cadmium inducible protein CadI,8,7,1,0,0,8,0,1,354.625,NE
Rv2642,-,Possible transcriptional regulatory protein (probably ArsR-family),4,4,0,0,0,4,0,1,108.75,NE
Rv2643,arsC,Probable arsenic-transport integral membrane protein ArsC,31,30,1,0,0,31,0,1,122.8387097,NE
Rv2644c,-,Hypothetical protein,7,5,2,0,0,7,0,1,90.14285714,NE
Rv2645,-,Hypothetical protein,4,4,0,0,0,4,0,1,77.5,NE
Rv2646,-,Probable integrase,19,19,0,0,0,19,0,1,115.2631579,NE
Rv2647,-,Hypothetical protein,6,5,1,0,0,6,0,1,48.16666667,NE
Rv2648,-,Probable transposase for insertion sequence element IS6110 (fragment),5,5,0,0,0,5,0,1,177.2,NE
Rv2649,-,Probable transposase for insertion sequence element IS6110,25,23,2,0,0,25,0,0.96,170.9166667,NE
Rv2650c,-,Possible PhiRv2 prophage protein,10,10,0,0,10,0,0,0.9,5.333333333,GD
Rv2651c,-,Possible PhiRv2 prophage protease,8,5,3,0,8,0,0,0.5,14.75,GD
Rv2652c,-,Probable PhiRv2 prophage protein,7,7,0,0,6,1,0,0.857142857,12.33333333,GD
Rv2653c,-,Possible PhiRv2 prophage protein,4,3,1,0,0,4,0,0.5,20.5,NE
Rv2654c,-,Possible PhiRv2 prophage protein,0,0,0,0,0,0,0,0,0,Uncertain
Rv2655c,-,Possible PhiRv2 prophage protein,22,20,2,0,0,22,0,0.954545455,86.76190476,NE
Rv2656c,-,Possible PhiRv2 prophage protein,5,5,0,0,0,5,0,1,128.2,NE
Rv2657c,-,Probable PhiRv2 prophage protein,5,4,1,0,0,5,0,1,61,NE
Rv2658c,-,Possible prophage protein,13,12,1,0,0,13,0,0.923076923,176.5833333,NE
Rv2659c,-,Probable PhiRv2 prophage integrase,21,21,0,0,0,21,0,1,209.1428571,NE
Rv2660c,-,Hypothetical protein,5,4,1,0,0,5,0,1,94,NE
Rv2661c,-,Hypothetical protein,2,2,0,0,0,2,0,1,187,NE
